remote,5,63.46496105194092,0.013412952423095703,44.31396555900574,14.980948686599731,4.170046806335449,21,84,105,4,420
remote,5,65.36724948883057,0.009676218032836914,45.98767113685608,14.028283596038818,5.351294755935669,21,84,105,4,420
remote,5,56.9089457988739,0.010905981063842773,43.152299642562866,11.905118465423584,1.8515276908874512,21,84,105,4,420
remote,3,84.69687962532043,195.2886300086975,60.078258991241455,20.360990524291992,4.257630109786987,35,None,105,4,420
remote,3,304.1416177749634,741.3993813991547,226.80785131454468,68.19878578186035,9.13498067855835,140,None,420,4,1680
remote,1,12.825652837753296,0.009993553161621094,5.344753980636597,4.410679340362549,3.0702195167541504,1,4,1,4,4
remote,1,3.303407907485962,0.007420063018798828,1.7846686840057373,0.9217128753662109,0.5970263481140137,1,4,1,4,4,0,0,0
remote,1,45.563551902770996,0.010742425918579102,23.171278953552246,21.74046277999878,0.6518101692199707,1,4,1,4,4,1,1,1
remote,3,9.328211307525635,0.010187387466430664,5.146738529205322,3.4757235050201416,0.7057492733001709,1,4,3,4,12,3,3,1
remote,1,6.4725987911224365,0.007599830627441406,4.118226528167725,1.7133424282073975,0.6410298347473145,3,12,3,4,12,3,3,1
remote,4,263.14031624794006,0.016814231872558594,200.56328558921814,53.62247323989868,8.954557418823242,105,420,420,4,1680,4,4,1
remote,5,236.84213614463806,0.015063285827636719,182.31024074554443,46.52417325973511,8.00772213935852,84,336,420,4,1680,5,5,1
remote,6,253.12982082366943,0.014692544937133789,183.2925353050232,58.920244216918945,10.917041301727295,70,280,420,4,1680,6,6,1
remote,8,234.14875268936157,0.020058155059814453,154.31799268722534,52.535905599594116,27.294854402542114,52,210,420,4,1680,8,8,1
remote,10,221.43232607841492,0.01592731475830078,146.36713027954102,48.70202875137329,26.36316704750061,42,168,420,4,1680,10,10,1
remote,4,12.307784080505371,0.012775421142578125,5.6987645626068115,3.670774459838867,2.9382450580596924,1,4,4,4,16,4,4,1
remote,4,63.61385941505432,153.25444841384888,45.16343712806702,14.424102544784546,4.026319742202759,21,None,84,4,336,4,4,1
remote,4,51.582338094711304,0.013710975646972656,39.39021921157837,10.593610286712646,1.598508596420288,21,84,84,4,336,4,4,1
